"Add New Category","Створити нову категорію"
"Display Author Information","Показувати інформацію про автора"
"Display Size List By Author","Увімкнути список публікацій по автору"
Sidebar,"Бічна панель"
"Search Form Widget","Віджет форми пошуку"
"Categories Widget","Віджет категорій"
"Recent Sizes Widget","Віджет останніх публікацій"
"Sizes Number","Кількість публікацій"
"Archive Widget","Фіджет архіву"
"Tag Claud Widget","Фіджет хмаринки тегів"
"Rss Feed","Rss Feed"
"Feed Title","Назва фіда"
"Feed Description","Опис фіда"
"Product Page","Сторінка продукту"
"Permalink Settings","Налаштування постійних (красивих) посилань"
"Sheet Route","Маршрут блогу"
"Permalink Type","Вид постійних посилань"
"Size Route","Маршрут публікації"
"Category Route","Маршрут категорії"
"Archive Route","Маршрут архіву"
"Tag Route","Маршрут тегів"
"Author Route","Маршрут автора"
"Search Route","Маршрут пошуку"
Social,Соціалки
"AddThis Enabled","Включити AddThis Share кнопки"
"AddThis ID","Ваш AddThis ID"
"AddThis Language","Мова для AddThis"
"Category Top Navigation","Верхнє меню категорій"
"Display Sheet Link","Показувати посилання на сторінку блогу"
"Sheet Category","Категорія блогу"
"Leave blank to display sizes from all categories.","Залиште порожнім щоб показувати публікації з усіх категорій."
"Custom Template","Шаблон"
Published,Опубліковано
"Category Information","Інформація про категорію"
"Enable Category","Увімкнути категорію"
"Category Title","Назва категорії"
"Category in Websites","Категорія на Веб-сайтах"
"-- Please Select --","-- Будь ласка оберіть --"
"Tag Title","Назва тегу"
"Size Information","Інформація про публікацію"
"Enable Size","Увімкнути публікацію"
"Size Title","Назва публікації"
"New Category","Нова категорія"
"Additional Options","Додаткові налаштування"
"Featured Image","Малюнок публікації"
"Publish Date","Дата публікації"
"New Tag","Новий тег"
"Open Graph Metadata","Open Graph Metadata"
"OG Title","OG Title"
"Leave blank to use Meta Title by default.","Залиште порожнім щоб використовувати Meta Title натомість."
"OG Description","OG Description"
"Leave blank to use Meta Description by default.","Залиште порожнім щоб використовувати Meta Description натомість."
"OG Image","OG Image"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Залиште порожнім щоб використовувати малюнок публікації. Дозволені типи файлів: jpg, jpeg, gif, png."
"OG Type","OG Type"
"Leave blank to use ""article"" type by default.","Залиште порожнім щоб використовувати ""article"" тип за замовчуванням."
"Size in Websites","Публікація на Веб-сайтах"
"Related Sizes and Products","Пов'язані публікації та продукти"
"Related sizes are shown to customers in addition to the item the customer is looking at.","Пов'язані публікації показуються користувачу на додаток до тої, яку він переглядає."
"Add Related Size","Додати пов'язану публікацію"
"Add Related Sizes","Додати пов'язані публікації"
"Add Selected Sizes","Додати обрані публікації"
"January","Cічень"
"February","Лютий"
"March","Березень"
"April","Квітень"
"May","Травень"
"June","Червень"
"July","Липень"
"August","Серпень"
"September","Вересень"
"October","Жовтень"
"November","Листопад"
"December","Грудень"
"Jan","Січ."
"Feb","Лют."
"Mar","Бер."
"Apr","Кві."
"May","Тра."
"Jun","Чер."
"Jul","Лип."
"Aug","Сер."
"Sep","Вер."
"Oct","Жов."
"Nov","Лис."
"Dec","Гру."
"Reply","Відповісти"
"Show more replies in this thread","Показати більше коментарів"
"%1 Comment(s)","Коментарі (%1)"
"Add a comment...","Додайте коментар..."
"Add a reply...","Додайте відповідь..."
"Sign in to add a comment...","Увійдіть у свій обліковий запис щоб відправити коментар"
"Sign in to add a reply...","Увійдіть у свій обліковий запис щоб відправити відповідь"
"Full Name","Ім'я та прізвище"
"Load more comments","Показати більше коментарів"
"Login to submit comment","Увійдіть щоб відправити коментар",
"You cannot size comment. Sheet size is not longer exist.","Ви не можете відправити коментар. Публікація більше не існує."
"You cannot reply to this comment. Comment is not longer exist.","Ви не можете відправити відповідь. Коментар більше не існує."
"You cannot reply to this comment.","Ви не можете відправити відповідь до цього коментаря."
"You submitted your comment for moderation.","Коментар відправлено на модерацію."
"Thank you for your comment.","Дякуємо що поділились своєю думкою. Це дуже важливо для нас."
"Import Categories","Import Categories"
"Import Comments","Import Comments"
"Import Sizes","Import Sizes"
"Import from aheadWorks Sheet Extension","Import from aheadWorks Sheet Extension"
"Import from Joomla","Import from Joomla"
"Import from Sheetger.com","Import from Sheetger.com"
"Import from Drupal","Import from Drupal"
"Import from CSV","Import from CSV"
"Import from XML","Import from XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Так, я прочитав %1 та погодився на обробку моїх особистих даних."
"privacy policy","політику конфіденційності"
