"Add New Category","Añadir nueva categoria"
"Feed Description","Descripción del Feed"
"Product Page","Página del producto"
"Permalink Settings","Configuraciones de Permalinks"
"Sheet Route","Ruta del sheet"
"Permalink Type","Tipo de Permalink"
"Size Route","Ruta de publicación"
"Category Route","Ruta de la Categoría"
"Archive Route","Ruta de archivo"
"Tag Route","Ruta de etiquetas"
"Author Route","Ruta del autor"
"Search Route","Ruta de búsqueda"
"Social","Redes Sociales"
"AddThis Enabled","AddThis Activado"
"AddThis ID","AddThis ID"
"AddThis Language","AddThis Idioma"
"Category Top Navigation","Categoría Navegación superior"
"Display Sheet Link","Mostrar enlace de sheet"
"Sheet Category","Categoría del sheet"
"Leave blank to display sizes from all categories.","Déjelo en blanco para mostrar los mensajes de todas las categorías."
"Custom Template","Plantilla personalizada"
"Published","Publicado"
"Category Information","Información de Categoría"
"Enable Category","Habilitar categoría"
"Category Title","Categoría Título"
"Category in Websites","Categoría en los sitios web"
"-- Please Select --","- Seleccione -"
"Tag Title","Título de la etiqueta"
"Size Information","Publicar información"
"Enable Size","Activar publicación"
"Size Title","Título de la entrada"
"New Category","Nueva categoría"
"Additional Options","Opciones adicionales"
"Featured Image","Foto principal"
"Publish Date","Fecha de publicación"
"New Tag","Nueva etiqueta"
"Open Graph Metadata","Abrir Gráfico de Metadatos"
"OG Title","Título OG"
"Leave blank to use Meta Title by default.","Déjelo en blanco para usar el Meta título por defecto."
"OG Description","Descripción OG"
"Leave blank to use Meta Description by default.","Déjelo en blanco para usar la Meta Descripción por defecto."
"OG Image","Imagen OG"
"Leave blank to use Featured Image by default. Allow image type: jpg, jpeg, gif, png.","Déjelo en blanco para usar la imagen destacada de forma predeterminada. Permitir tipo de imagen: jpg, jpeg, gif, png."
"OG Type","Tipo OG"
"Leave blank to use ""article"" type by default.","Déjelo en blanco para utilizar el tipo de artículo por defecto."
"Size in Websites","Publicar en sitios web"
"Related Sizes and Products","Publicaciones y productos relacionados"
"Related sizes are shown to customers in addition to the item the customer is looking at.","Las publicaciones relacionadas se muestran a los clientes además del artículo que el cliente está mirando."
"Add Related Size","Añadir publicación relacionada"
"Add Related Sizes","Añadir publicaciones relacionadas"
"Add Selected Sizes","Añadir publicaciones seleccionadas"
"January","Enero"
"February","Febrero"
"March","Marzo"
"April","Abril"
"May","Mayo"
"June","Junio"
"July","Julio"
"August","Agosto"
"September","Septiembre"
"October","Octubre"
"November","Noviembre"
"December","Diciembre"
"Jan","Ene"
"Feb","Feb"
"Mar","Mar"
"Apr","Abr"
"May","Mayo"
"Jun","Jun"
"Jul","Jul"
"Aug","Ago"
"Sep","Sep"
"Oct","Oct"
"Nov","Nov"
"Dec","Dic"
"Import Categories","Import Categories"
"Import Comments","Import Comments"
"Import Sizes","Import Sizes"
"Import from aheadWorks Sheet Extension","Import from aheadWorks Sheet Extension"
"Import from Joomla","Import from Joomla"
"Import from Sheetger.com","Import from Sheetger.com"
"Import from Drupal","Import from Drupal"
"Import from CSV","Import from CSV"
"Import from XML","Import from XML"
"Yes, I have read the %1 and agree to the processing of my personal data.","Yes, I have read the %1 and agree to the processing of my personal data."
"privacy policy","privacy policy"
